"","Age","type","scenarioA","scenarioB","scenarioC","scenarioD"
"1","1-4yrs","rate","220.3 (194.3-248)","220.3 (194.3-248)","221 (195.3-249)","221 (195.3-249)"
"2","1-4yrs","diff","1.6 (0.6-2.9)","1.6 (0.6-2.9)","0.6 (0.2-1.2)","0.6 (0.2-1.2)"
"3","1-4yrs","percent","0.7 (0.3-1.3)","0.7 (0.3-1.3)","0.3 (0.1-0.6)","0.3 (0.1-0.6)"
"4","5-59yrs","rate","8.9 (7.4-10.4)","8.9 (7.4-10.4)","8.9 (7.4-10.4)","8.9 (7.4-10.4)"
"5","5-59yrs","diff","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)"
"6","5-59yrs","percent","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)"
"7","6-11m","rate","409.1 (309.3-486.9)","409.1 (309.3-486.9)","492 (390.3-586.8)","491.9 (390.3-586.8)"
"8","6-11m","diff","133.1 (85.6-188.2)","133.1 (85.7-188.2)","50.7 (32.1-71.5)","50.7 (32.1-71.5)"
"9","6-11m","percent","213.6 (154-252.3)","213.6 (154-252.3)","80.6 (57.6-97)","80.6 (57.7-97)"
"10","60+yrs","rate","73.6 (57.3-90)","79.2 (62.2-97.5)","73.7 (57.4-90.1)","79.2 (62.3-97.6)"
"11","60+yrs","diff","8.7 (6.4-11.6)","3 (2.2-4)","8.7 (6.4-11.5)","3 (2.2-3.9)"
"12","60+yrs","percent","2.4 (2-2.7)","0.8 (0.7-0.9)","2.4 (2-2.6)","0.8 (0.7-0.9)"
"13","<6m","rate","1289.6 (969.6-1607.8)","1289.6 (969.6-1607.8)","1545.5 (1177.3-1875.9)","1545.5 (1177.2-1875.8)"
"14","<6m","diff","457.5 (296.4-617.6)","457.5 (296.4-617.5)","206.5 (131-287.4)","206.5 (131-287.5)"
"15","<6m","percent","226.3 (161.4-248.6)","226.3 (161.4-248.6)","104 (71-116.3)","104 (71-116.4)"
"16","All","rate","39.7 (33-45.8)","40.8 (34-47.1)","41.4 (34.6-48)","42.6 (35.7-49.4)"
"17","All","diff","4.9 (3.3-6.6)","3.8 (2.5-5.1)","3.1 (2.1-4.2)","2 (1.3-2.7)"
"18","All","percent","0.5 (0.4-0.6)","0.4 (0.3-0.4)","0.3 (0.2-0.4)","0.2 (0.1-0.2)"
